hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
1,0,342,2015,5,27,1,0,0,2,0.0,0,0,135,3,1,0,0,0,2,2,3,0,,,0,2,0.0,0,0
1,0,737,2015,5,27,1,0,0,2,0.0,0,0,135,3,1,0,0,0,2,2,4,0,,,0,2,0.0,0,0
1,0,7,2015,5,27,1,0,1,1,0.0,0,0,59,3,1,0,0,0,0,2,0,0,,,0,2,75.0,0,0
1,0,13,2015,5,27,1,0,1,1,0.0,0,0,59,2,0,0,0,0,0,0,0,0,304.0,,0,2,75.0,0,0
1,0,14,2015,5,27,1,0,2,2,0.0,0,0,59,6,3,0,0,0,0,0,0,0,240.0,,0,2,98.0,0,1
1,0,14,2015,5,27,1,0,2,2,0.0,0,0,59,6,3,0,0,0,0,0,0,0,240.0,,0,2,98.0,0,1
1,0,0,2015,5,27,1,0,2,2,0.0,0,0,135,3,1,0,0,0,2,2,0,0,,,0,2,107.0,0,0
1,0,9,2015,5,27,1,0,2,2,0.0,0,1,135,3,1,0,0,0,2,2,0,0,303.0,,0,2,103.0,0,1
1,1,85,2015,5,27,1,0,3,2,0.0,0,0,135,6,3,0,0,0,0,0,0,0,240.0,,0,2,82.0,0,1
1,1,75,2015,5,27,1,0,3,2,0.0,0,2,135,5,3,0,0,0,3,3,0,0,15.0,,0,2,105.5,0,0
1,1,23,2015,5,27,1,0,4,2,0.0,0,0,135,6,3,0,0,0,4,4,0,0,240.0,,0,2,123.0,0,0
1,0,35,2015,5,27,1,0,4,2,0.0,0,2,135,6,3,0,0,0,3,3,0,0,240.0,,0,2,145.0,0,0
1,0,68,2015,5,27,1,0,4,2,0.0,0,0,169,6,3,0,0,0,3,4,0,0,240.0,,0,2,97.0,0,3
1,0,18,2015,5,27,1,0,4,2,1.0,0,2,51,6,3,0,0,0,6,6,1,0,241.0,,0,2,154.77,0,1
1,0,37,2015,5,27,1,0,4,2,0.0,0,0,135,6,3,0,0,0,4,4,0,0,241.0,,0,2,94.71,0,0
1,0,68,2015,5,27,1,0,4,2,0.0,0,0,76,6,3,0,0,0,3,4,0,0,240.0,,0,2,97.0,0,3
1,0,37,2015,5,27,1,0,4,2,0.0,0,0,135,5,3,0,0,0,4,4,0,0,8.0,,0,0,97.5,0,0
1,0,12,2015,5,27,1,0,1,2,0.0,0,0,76,6,3,0,0,0,0,4,0,0,240.0,,0,2,88.2,0,0
1,0,0,2015,5,27,1,0,1,2,0.0,0,0,56,2,0,0,0,0,0,6,0,0,,110.0,0,2,107.42,0,0
